freq,psd_x,psd_y,psd_z,psd_xyz
0.0,3.088e+02,3.739e+01,4.601e+01,3.922e+02
1.6,2.060e+02,1.251e+02,1.272e+02,4.583e+02
3.2,6.464e+01,1.383e+02,1.258e+02,3.287e+02
4.8,4.434e+02,1.609e+02,1.112e+02,7.155e+02
6.4,1.271e+03,1.428e+02,1.137e+02,1.527e+03
8.0,2.004e+03,1.415e+02,1.176e+02,2.263e+03
9.6,2.785e+03,1.661e+02,1.226e+02,3.074e+03
11.2,3.710e+03,1.724e+02,1.196e+02,4.002e+03
12.8,4.749e+03,1.814e+02,1.054e+02,5.035e+03
14.4,6.104e+03,1.786e+02,1.072e+02,6.389e+03
16.0,7.847e+03,1.808e+02,1.120e+02,8.140e+03
17.6,1.020e+04,1.887e+02,1.034e+02,1.049e+04
19.2,1.397e+04,2.052e+02,1.137e+02,1.429e+04
20.8,1.963e+04,2.424e+02,1.235e+02,1.999e+04
22.4,1.735e+04,2.232e+02,1.230e+02,1.770e+04
24.0,1.060e+04,1.920e+02,1.256e+02,1.092e+04
25.6,1.284e+04,2.151e+02,1.290e+02,1.319e+04
27.2,1.639e+04,2.813e+02,1.384e+02,1.681e+04
28.8,1.992e+04,3.942e+02,1.553e+02,2.047e+04
30.4,2.449e+04,3.930e+02,1.721e+02,2.505e+04
32.0,2.997e+04,4.244e+02,1.784e+02,3.057e+04
33.6,3.625e+04,5.618e+02,2.288e+02,3.704e+04
35.2,4.182e+04,6.459e+02,3.183e+02,4.278e+04
36.8,4.773e+04,6.395e+02,4.182e+02,4.879e+04
38.4,5.798e+04,7.693e+02,5.556e+02,5.931e+04
40.0,7.044e+04,9.915e+02,7.410e+02,7.217e+04
41.6,8.738e+04,1.211e+03,1.064e+03,8.966e+04
43.2,1.068e+05,1.419e+03,1.261e+03,1.095e+05
44.8,1.355e+05,1.708e+03,1.247e+03,1.385e+05
46.4,1.860e+05,2.343e+03,1.157e+03,1.895e+05
48.0,2.716e+05,3.376e+03,1.182e+03,2.761e+05
49.6,4.055e+05,5.169e+03,1.594e+03,4.122e+05
51.2,4.395e+05,5.864e+03,2.309e+03,4.476e+05
52.8,2.848e+05,3.912e+03,1.513e+03,2.902e+05
54.4,3.388e+05,5.530e+03,2.451e+03,3.468e+05
56.0,6.762e+05,1.152e+04,4.339e+03,6.920e+05
57.6,1.102e+06,1.616e+04,4.898e+03,1.123e+06
59.2,1.201e+06,1.626e+04,5.732e+03,1.223e+06
60.8,8.348e+05,1.191e+04,7.705e+03,8.544e+05
62.4,4.353e+05,8.123e+03,8.995e+03,4.524e+05
64.0,2.080e+05,5.638e+03,9.438e+03,2.230e+05
65.6,1.043e+05,2.716e+03,5.989e+03,1.130e+05
67.2,6.564e+04,2.869e+03,3.508e+03,7.201e+04
68.8,5.150e+04,7.580e+03,7.593e+03,6.667e+04
70.4,6.947e+04,2.241e+04,2.569e+04,1.176e+05
72.0,1.949e+05,4.051e+04,5.140e+04,2.868e+05
73.6,3.098e+05,3.897e+04,5.546e+04,4.042e+05
75.2,2.381e+05,2.748e+04,4.643e+04,3.121e+05
76.8,1.313e+05,1.418e+04,3.336e+04,1.789e+05
78.4,7.694e+04,4.413e+03,1.902e+04,1.004e+05
80.0,6.491e+04,2.345e+03,9.285e+03,7.654e+04
81.6,5.991e+04,3.394e+03,6.859e+03,7.016e+04
83.2,4.671e+04,2.817e+03,6.717e+03,5.624e+04
84.8,3.198e+04,3.989e+03,6.192e+03,4.216e+04
86.4,2.504e+04,1.440e+04,9.979e+03,4.942e+04
88.0,2.682e+04,2.828e+04,2.198e+04,7.708e+04
89.6,2.867e+04,3.321e+04,3.424e+04,9.612e+04
91.2,2.839e+04,1.946e+04,4.005e+04,8.790e+04
92.8,3.540e+04,6.582e+03,3.993e+04,8.192e+04
94.4,4.517e+04,5.068e+03,3.957e+04,8.981e+04
96.0,4.979e+04,1.306e+04,3.861e+04,1.015e+05
97.6,5.038e+04,2.208e+04,3.781e+04,1.103e+05
99.2,4.843e+04,2.642e+04,3.737e+04,1.122e+05
100.8,4.644e+04,2.747e+04,3.510e+04,1.090e+05
102.4,3.952e+04,3.033e+04,2.953e+04,9.938e+04
104.0,2.689e+04,3.336e+04,2.522e+04,8.546e+04
105.6,1.951e+04,3.386e+04,2.645e+04,7.982e+04
107.2,1.922e+04,3.393e+04,3.138e+04,8.454e+04
108.8,2.150e+04,3.359e+04,3.654e+04,9.163e+04
110.4,2.240e+04,3.406e+04,4.037e+04,9.682e+04
112.0,2.278e+04,3.547e+04,4.409e+04,1.023e+05
113.6,2.616e+04,3.864e+04,5.002e+04,1.148e+05
115.2,3.544e+04,4.225e+04,5.865e+04,1.363e+05
116.8,4.617e+04,4.253e+04,6.693e+04,1.556e+05
118.4,5.585e+04,4.225e+04,7.453e+04,1.726e+05
120.0,6.386e+04,4.679e+04,7.947e+04,1.901e+05
121.6,6.629e+04,5.801e+04,8.144e+04,2.057e+05
123.2,6.684e+04,6.938e+04,8.407e+04,2.203e+05
124.8,6.976e+04,7.581e+04,8.853e+04,2.341e+05
126.4,8.076e+04,7.582e+04,9.851e+04,2.551e+05
128.0,9.116e+04,7.320e+04,1.096e+05,2.740e+05
129.6,1.011e+05,7.352e+04,1.197e+05,2.943e+05
131.2,1.101e+05,7.395e+04,1.275e+05,3.115e+05
132.8,7.353e+04,4.499e+04,8.125e+04,1.998e+05
134.4,2.199e+04,8.190e+03,1.565e+04,4.583e+04
136.0,1.333e+04,3.912e+03,6.626e+03,2.387e+04
137.6,1.342e+04,3.782e+03,6.739e+03,2.394e+04
139.2,1.547e+04,4.446e+03,7.713e+03,2.763e+04
140.8,2.107e+04,6.259e+03,1.030e+04,3.764e+04
142.4,3.330e+04,9.593e+03,1.583e+04,5.873e+04
144.0,4.896e+04,1.271e+04,2.272e+04,8.440e+04
145.6,5.498e+04,1.278e+04,2.418e+04,9.194e+04
147.2,5.659e+04,1.202e+04,2.415e+04,9.276e+04
148.8,6.115e+04,1.221e+04,2.721e+04,1.006e+05
150.4,6.858e+04,1.335e+04,3.179e+04,1.137e+05
152.0,7.470e+04,1.489e+04,3.507e+04,1.247e+05
153.6,7.852e+04,1.618e+04,3.705e+04,1.318e+05
155.2,8.134e+04,1.701e+04,3.863e+04,1.370e+05
156.8,8.237e+04,1.678e+04,4.006e+04,1.392e+05
158.4,8.575e+04,1.668e+04,4.289e+04,1.453e+05
160.0,9.865e+04,1.856e+04,4.667e+04,1.639e+05
161.6,1.142e+05,2.156e+04,5.315e+04,1.889e+05
163.2,1.262e+05,2.517e+04,6.065e+04,2.120e+05
164.8,1.279e+05,2.602e+04,6.405e+04,2.180e+05
166.4,1.274e+05,2.500e+04,6.538e+04,2.178e+05
168.0,1.209e+05,2.238e+04,6.321e+04,2.065e+05
169.6,1.085e+05,1.804e+04,5.871e+04,1.853e+05
171.2,1.197e+05,1.635e+04,6.494e+04,2.010e+05
172.8,1.360e+05,1.554e+04,7.242e+04,2.239e+05
174.4,1.390e+05,1.550e+04,7.245e+04,2.270e+05
176.0,1.426e+05,1.571e+04,7.131e+04,2.297e+05
177.6,1.495e+05,1.645e+04,7.305e+04,2.390e+05
179.2,1.471e+05,1.677e+04,7.186e+04,2.357e+05
180.8,1.360e+05,1.547e+04,6.735e+04,2.189e+05
182.4,1.142e+05,1.341e+04,5.758e+04,1.852e+05
184.0,9.769e+04,1.291e+04,5.064e+04,1.612e+05
185.6,8.760e+04,1.230e+04,4.570e+04,1.456e+05
187.2,7.739e+04,1.093e+04,3.934e+04,1.277e+05
188.8,7.224e+04,1.075e+04,3.565e+04,1.186e+05
190.4,7.336e+04,1.269e+04,3.581e+04,1.219e+05
192.0,7.830e+04,1.653e+04,3.840e+04,1.332e+05
193.6,8.318e+04,2.138e+04,4.150e+04,1.461e+05
195.2,8.702e+04,2.482e+04,4.431e+04,1.562e+05
196.8,9.119e+04,2.665e+04,4.675e+04,1.646e+05
198.4,1.022e+05,2.941e+04,5.047e+04,1.821e+05
200.0,1.186e+05,3.274e+04,5.690e+04,2.082e+05
