freq,psd_x,psd_y,psd_z,psd_xyz
0.0,3.320e+02,1.299e+01,1.654e+01,3.616e+02
1.6,2.087e+02,2.540e+01,2.779e+01,2.619e+02
3.2,4.663e+01,2.646e+01,2.485e+01,9.795e+01
4.8,4.162e+02,2.809e+01,2.430e+01,4.686e+02
6.4,1.266e+03,2.804e+01,2.369e+01,1.318e+03
8.0,2.011e+03,2.775e+01,2.674e+01,2.065e+03
9.6,2.855e+03,2.941e+01,2.713e+01,2.912e+03
11.2,3.945e+03,3.257e+01,2.604e+01,4.004e+03
12.8,5.307e+03,3.839e+01,2.461e+01,5.370e+03
14.4,6.882e+03,4.589e+01,2.706e+01,6.955e+03
16.0,8.793e+03,5.707e+01,2.897e+01,8.879e+03
17.6,1.070e+04,6.662e+01,2.631e+01,1.080e+04
19.2,1.316e+04,8.910e+01,2.800e+01,1.328e+04
20.8,1.678e+04,1.092e+02,2.943e+01,1.692e+04
22.4,1.843e+04,1.135e+02,3.090e+01,1.857e+04
24.0,1.735e+04,1.654e+02,3.661e+01,1.755e+04
25.6,1.990e+04,2.358e+02,3.800e+01,2.018e+04
27.2,2.476e+04,2.120e+02,4.741e+01,2.502e+04
28.8,2.989e+04,1.984e+02,6.652e+01,3.016e+04
30.4,3.585e+04,2.078e+02,9.149e+01,3.615e+04
32.0,4.312e+04,2.252e+02,1.101e+02,4.345e+04
33.6,5.227e+04,2.464e+02,1.463e+02,5.266e+04
35.2,6.319e+04,3.220e+02,2.180e+02,6.373e+04
36.8,7.633e+04,4.910e+02,2.759e+02,7.710e+04
38.4,9.183e+04,7.578e+02,3.386e+02,9.293e+04
40.0,1.096e+05,1.020e+03,4.538e+02,1.111e+05
41.6,1.408e+05,1.286e+03,6.968e+02,1.428e+05
43.2,1.861e+05,1.448e+03,1.140e+03,1.887e+05
44.8,2.450e+05,1.899e+03,1.751e+03,2.486e+05
46.4,2.795e+05,2.308e+03,2.189e+03,2.840e+05
48.0,2.851e+05,2.755e+03,2.450e+03,2.903e+05
49.6,2.963e+05,3.654e+03,2.474e+03,3.024e+05
51.1,3.438e+05,4.209e+03,2.076e+03,3.501e+05
52.7,4.144e+05,4.957e+03,1.429e+03,4.208e+05
54.3,5.199e+05,6.139e+03,2.273e+03,5.283e+05
55.9,8.058e+05,9.730e+03,5.699e+03,8.212e+05
57.5,1.145e+06,1.333e+04,8.894e+03,1.167e+06
59.1,1.150e+06,1.301e+04,9.185e+03,1.173e+06
60.7,8.269e+05,1.010e+04,7.244e+03,8.442e+05
62.3,4.862e+05,6.900e+03,5.301e+03,4.984e+05
63.9,2.802e+05,4.715e+03,4.210e+03,2.891e+05
65.5,1.785e+05,3.251e+03,3.487e+03,1.852e+05
67.1,1.237e+05,2.408e+03,1.923e+03,1.281e+05
68.7,8.501e+04,3.865e+03,1.160e+03,9.004e+04
70.3,6.406e+04,5.772e+03,2.179e+03,7.201e+04
71.9,8.705e+04,6.074e+03,2.786e+03,9.591e+04
73.5,1.570e+05,6.767e+03,2.978e+03,1.667e+05
75.1,1.755e+05,7.511e+03,3.487e+03,1.865e+05
76.7,1.747e+05,9.905e+03,4.768e+03,1.894e+05
78.3,1.691e+05,1.188e+04,5.196e+03,1.861e+05
79.9,1.307e+05,1.176e+04,4.615e+03,1.471e+05
81.5,8.981e+04,1.264e+04,4.375e+03,1.068e+05
83.1,6.668e+04,1.629e+04,5.258e+03,8.823e+04
84.7,5.115e+04,1.980e+04,6.159e+03,7.711e+04
86.3,5.153e+04,2.000e+04,6.350e+03,7.789e+04
87.9,5.495e+04,1.506e+04,6.506e+03,7.651e+04
89.5,5.285e+04,8.202e+03,7.854e+03,6.890e+04
91.1,4.924e+04,3.153e+03,1.076e+04,6.315e+04
92.7,4.753e+04,1.466e+03,1.401e+04,6.301e+04
94.3,4.784e+04,4.044e+03,1.731e+04,6.919e+04
95.9,4.746e+04,7.315e+03,2.054e+04,7.531e+04
97.5,4.715e+04,9.511e+03,2.277e+04,7.942e+04
99.1,5.009e+04,9.254e+03,2.350e+04,8.284e+04
100.7,5.202e+04,7.184e+03,2.237e+04,8.158e+04
102.3,5.187e+04,5.784e+03,2.119e+04,7.884e+04
103.9,4.401e+04,5.542e+03,2.020e+04,6.975e+04
105.5,3.262e+04,5.049e+03,1.896e+04,5.663e+04
107.1,2.604e+04,5.491e+03,2.125e+04,5.278e+04
108.7,2.253e+04,6.619e+03,2.393e+04,5.307e+04
110.3,2.022e+04,7.388e+03,2.551e+04,5.313e+04
111.9,1.819e+04,7.650e+03,2.648e+04,5.232e+04
113.5,1.693e+04,8.066e+03,2.816e+04,5.316e+04
115.1,1.619e+04,8.465e+03,3.134e+04,5.599e+04
116.7,1.688e+04,9.011e+03,3.602e+04,6.190e+04
118.3,1.794e+04,1.008e+04,4.054e+04,6.855e+04
119.9,1.823e+04,1.123e+04,4.556e+04,7.502e+04
121.5,1.957e+04,1.247e+04,5.234e+04,8.438e+04
123.1,2.289e+04,1.188e+04,5.780e+04,9.257e+04
124.7,2.895e+04,1.025e+04,6.366e+04,1.029e+05
126.3,3.666e+04,8.988e+03,7.001e+04,1.157e+05
127.9,4.322e+04,8.189e+03,7.440e+04,1.258e+05
129.5,5.368e+04,7.715e+03,8.181e+04,1.432e+05
131.1,7.648e+04,7.463e+03,9.582e+04,1.798e+05
132.7,6.584e+04,5.063e+03,7.275e+04,1.437e+05
134.3,1.672e+04,2.050e+03,1.532e+04,3.409e+04
135.9,1.102e+04,1.632e+03,6.995e+03,1.965e+04
137.5,1.021e+04,1.284e+03,6.315e+03,1.781e+04
139.1,9.207e+03,8.393e+02,5.391e+03,1.544e+04
140.7,1.070e+04,5.663e+02,5.603e+03,1.687e+04
142.3,1.337e+04,3.914e+02,6.224e+03,1.998e+04
143.9,1.612e+04,4.095e+02,6.954e+03,2.348e+04
145.5,1.988e+04,5.447e+02,8.198e+03,2.863e+04
147.1,2.395e+04,6.765e+02,9.538e+03,3.417e+04
148.7,2.938e+04,1.080e+03,1.144e+04,4.190e+04
150.3,3.599e+04,1.669e+03,1.388e+04,5.154e+04
151.8,3.874e+04,1.990e+03,1.434e+04,5.506e+04
153.4,4.216e+04,2.329e+03,1.485e+04,5.934e+04
155.0,4.690e+04,3.294e+03,1.597e+04,6.617e+04
156.6,4.442e+04,4.453e+03,1.472e+04,6.359e+04
158.2,4.207e+04,4.623e+03,1.375e+04,6.044e+04
159.8,4.626e+04,4.595e+03,1.510e+04,6.596e+04
161.4,4.822e+04,5.428e+03,1.541e+04,6.906e+04
163.0,4.829e+04,6.241e+03,1.535e+04,6.988e+04
164.6,4.173e+04,6.703e+03,1.389e+04,6.231e+04
166.2,3.509e+04,7.175e+03,1.205e+04,5.432e+04
167.8,3.121e+04,7.898e+03,1.076e+04,4.987e+04
169.4,3.032e+04,9.020e+03,1.064e+04,4.998e+04
171.0,3.450e+04,1.079e+04,1.262e+04,5.790e+04
172.6,4.087e+04,1.296e+04,1.574e+04,6.958e+04
174.2,4.073e+04,1.321e+04,1.650e+04,7.044e+04
175.8,3.640e+04,1.283e+04,1.537e+04,6.460e+04
177.4,3.041e+04,1.256e+04,1.312e+04,5.610e+04
179.0,2.389e+04,1.210e+04,1.091e+04,4.690e+04
180.6,2.016e+04,1.221e+04,9.849e+03,4.221e+04
182.2,1.681e+04,1.219e+04,8.894e+03,3.789e+04
183.8,1.344e+04,1.164e+04,7.747e+03,3.283e+04
185.4,1.181e+04,1.180e+04,7.402e+03,3.101e+04
187.0,1.120e+04,1.315e+04,7.363e+03,3.171e+04
188.6,1.148e+04,1.490e+04,7.763e+03,3.415e+04
190.2,1.228e+04,1.695e+04,8.353e+03,3.759e+04
191.8,1.305e+04,1.854e+04,9.023e+03,4.061e+04
193.4,1.379e+04,2.054e+04,9.910e+03,4.424e+04
195.0,1.525e+04,2.243e+04,1.097e+04,4.864e+04
196.6,1.467e+04,2.347e+04,1.149e+04,4.963e+04
198.2,1.502e+04,2.424e+04,1.245e+04,5.171e+04
199.8,1.804e+04,2.545e+04,1.427e+04,5.776e+04
