freq,psd_x,psd_y,psd_z,psd_xyz
0.0,8.266e+00,3.149e+02,3.218e+01,3.554e+02
1.6,2.759e+01,1.901e+02,3.709e+01,2.548e+02
3.2,3.138e+01,3.946e+01,2.269e+01,9.353e+01
4.8,3.519e+01,4.216e+02,2.179e+01,4.786e+02
6.4,3.347e+01,1.281e+03,2.172e+01,1.337e+03
8.0,3.482e+01,2.069e+03,2.232e+01,2.126e+03
9.6,3.875e+01,3.029e+03,2.261e+01,3.090e+03
11.2,4.013e+01,4.415e+03,2.390e+01,4.479e+03
12.8,4.230e+01,6.304e+03,2.481e+01,6.371e+03
14.4,4.032e+01,8.611e+03,2.489e+01,8.676e+03
16.0,3.849e+01,1.140e+04,2.272e+01,1.146e+04
17.6,4.877e+01,1.483e+04,2.226e+01,1.490e+04
19.2,5.666e+01,1.907e+04,2.283e+01,1.914e+04
20.8,4.792e+01,2.456e+04,2.242e+01,2.463e+04
22.4,7.466e+01,3.383e+04,2.482e+01,3.393e+04
24.0,1.569e+02,4.488e+04,3.234e+01,4.507e+04
25.6,1.601e+02,5.037e+04,4.588e+01,5.058e+04
27.2,1.035e+02,5.321e+04,7.213e+01,5.339e+04
28.8,7.383e+01,6.681e+04,1.449e+02,6.703e+04
30.4,1.244e+02,7.846e+04,2.562e+02,7.884e+04
32.0,2.084e+02,8.701e+04,3.538e+02,8.757e+04
33.6,2.738e+02,1.148e+05,5.542e+02,1.156e+05
35.2,4.205e+02,1.738e+05,1.094e+03,1.753e+05
36.8,6.797e+02,2.837e+05,2.433e+03,2.869e+05
38.4,1.111e+03,4.731e+05,5.784e+03,4.800e+05
40.0,1.504e+03,6.109e+05,1.062e+04,6.231e+05
41.6,1.194e+03,5.900e+05,1.645e+04,6.076e+05
43.2,7.291e+02,5.461e+05,2.433e+04,5.711e+05
44.8,5.208e+02,4.356e+05,3.033e+04,4.665e+05
46.4,4.176e+02,2.968e+05,3.124e+04,3.285e+05
48.0,2.400e+02,1.914e+05,2.799e+04,2.196e+05
49.6,2.339e+02,1.313e+05,2.530e+04,1.569e+05
