freq,psd_x,psd_y,psd_z,psd_xyz
0.0,6.759e+00,2.506e+02,3.539e+01,2.927e+02
1.6,2.576e+01,1.534e+02,3.284e+01,2.120e+02
3.2,2.479e+01,3.378e+01,1.896e+01,7.753e+01
4.8,2.523e+01,3.858e+02,1.934e+01,4.304e+02
6.4,2.638e+01,1.226e+03,1.973e+01,1.272e+03
7.9,2.840e+01,2.017e+03,1.926e+01,2.064e+03
9.5,3.674e+01,2.989e+03,2.047e+01,3.046e+03
11.1,3.538e+01,4.075e+03,2.005e+01,4.130e+03
12.7,3.339e+01,5.432e+03,1.838e+01,5.483e+03
14.3,3.496e+01,7.382e+03,1.906e+01,7.436e+03
15.9,3.696e+01,9.872e+03,1.777e+01,9.927e+03
17.5,4.085e+01,1.248e+04,1.769e+01,1.254e+04
19.1,5.791e+01,1.592e+04,1.869e+01,1.600e+04
20.6,1.070e+02,2.085e+04,1.974e+01,2.097e+04
22.2,1.528e+02,2.638e+04,2.773e+01,2.656e+04
23.8,1.354e+02,2.769e+04,3.344e+01,2.786e+04
25.4,8.774e+01,2.947e+04,3.859e+01,2.960e+04
27.0,9.029e+01,3.952e+04,4.941e+01,3.966e+04
28.6,1.453e+02,5.728e+04,7.866e+01,5.751e+04
30.2,2.897e+02,6.611e+04,1.194e+02,6.652e+04
31.8,3.580e+02,5.098e+04,1.129e+02,5.145e+04
33.3,4.060e+02,4.325e+04,9.259e+01,4.375e+04
34.9,5.372e+02,5.474e+04,1.284e+02,5.541e+04
36.5,6.386e+02,7.795e+04,2.066e+02,7.880e+04
38.1,9.109e+02,1.200e+05,4.362e+02,1.214e+05
39.7,1.349e+03,1.679e+05,1.761e+03,1.710e+05
41.3,1.761e+03,2.543e+05,7.412e+03,2.635e+05
42.9,2.949e+03,4.446e+05,2.358e+04,4.711e+05
44.5,4.582e+03,6.618e+05,5.057e+04,7.170e+05
46.0,3.934e+03,6.806e+05,7.315e+04,7.576e+05
47.6,2.285e+03,4.880e+05,7.238e+04,5.627e+05
49.2,1.550e+03,2.942e+05,5.806e+04,3.538e+05
50.8,1.316e+03,1.663e+05,4.805e+04,2.156e+05
52.4,1.228e+03,9.692e+04,4.549e+04,1.436e+05
54.0,1.254e+03,6.500e+04,5.221e+04,1.185e+05
55.6,1.775e+03,5.202e+04,5.353e+04,1.073e+05
57.2,2.208e+03,4.002e+04,4.762e+04,8.985e+04
58.7,1.844e+03,2.747e+04,4.526e+04,7.458e+04
60.3,1.271e+03,2.196e+04,5.407e+04,7.730e+04
61.9,1.375e+03,2.907e+04,7.417e+04,1.046e+05
63.5,1.776e+03,5.339e+04,1.021e+05,1.572e+05
65.1,1.941e+03,9.089e+04,1.235e+05,2.164e+05
66.7,1.716e+03,1.166e+05,1.216e+05,2.399e+05
68.3,1.387e+03,1.191e+05,1.048e+05,2.253e+05
69.9,1.042e+03,1.031e+05,7.716e+04,1.813e+05
71.5,8.051e+02,8.176e+04,5.258e+04,1.351e+05
73.0,6.861e+02,6.729e+04,3.868e+04,1.067e+05
74.6,5.770e+02,5.449e+04,2.870e+04,8.376e+04
76.2,4.270e+02,4.098e+04,1.997e+04,6.138e+04
77.8,2.571e+02,2.755e+04,1.263e+04,4.043e+04
79.4,1.630e+02,1.805e+04,7.615e+03,2.583e+04
81.0,2.663e+02,1.414e+04,5.120e+03,1.953e+04
82.6,7.579e+02,2.011e+04,5.132e+03,2.600e+04
84.2,1.971e+03,4.680e+04,8.942e+03,5.771e+04
85.7,4.732e+03,9.326e+04,1.657e+04,1.146e+05
87.3,7.386e+03,1.142e+05,2.111e+04,1.427e+05
88.9,6.848e+03,9.480e+04,1.860e+04,1.202e+05
90.5,4.642e+03,6.938e+04,1.382e+04,8.784e+04
92.1,3.251e+03,5.760e+04,1.123e+04,7.208e+04
93.7,3.360e+03,5.208e+04,1.023e+04,6.567e+04
95.3,2.984e+03,4.495e+04,9.015e+03,5.695e+04
96.9,2.444e+03,4.492e+04,8.815e+03,5.618e+04
98.4,2.247e+03,4.876e+04,9.512e+03,6.052e+04
100.0,1.938e+03,4.802e+04,9.916e+03,5.988e+04
101.6,1.601e+03,4.486e+04,9.700e+03,5.616e+04
103.2,1.419e+03,4.245e+04,9.076e+03,5.295e+04
104.8,1.424e+03,3.259e+04,7.740e+03,4.175e+04
106.4,1.196e+03,2.552e+04,6.447e+03,3.316e+04
108.0,1.178e+03,2.780e+04,5.343e+03,3.433e+04
109.6,1.226e+03,3.372e+04,4.509e+03,3.946e+04
111.1,9.414e+02,3.553e+04,4.397e+03,4.087e+04
112.7,8.222e+02,3.480e+04,4.119e+03,3.974e+04
114.3,7.669e+02,3.301e+04,3.685e+03,3.746e+04
115.9,8.047e+02,2.946e+04,3.238e+03,3.350e+04
117.5,8.971e+02,2.416e+04,3.089e+03,2.814e+04
119.1,1.052e+03,2.008e+04,3.171e+03,2.430e+04
120.7,1.078e+03,1.610e+04,3.344e+03,2.053e+04
122.3,1.120e+03,1.187e+04,3.175e+03,1.617e+04
123.9,1.375e+03,1.007e+04,2.663e+03,1.411e+04
125.4,1.824e+03,1.079e+04,2.347e+03,1.496e+04
127.0,2.330e+03,1.318e+04,2.431e+03,1.795e+04
128.6,2.859e+03,1.933e+04,2.798e+03,2.498e+04
130.2,3.477e+03,2.920e+04,3.017e+03,3.569e+04
131.8,4.032e+03,3.535e+04,2.606e+03,4.199e+04
133.4,3.299e+03,1.564e+04,1.197e+03,2.013e+04
135.0,2.327e+03,1.532e+03,4.362e+02,4.295e+03
136.6,1.840e+03,7.043e+02,3.207e+02,2.865e+03
138.1,1.567e+03,5.690e+02,3.026e+02,2.438e+03
139.7,1.329e+03,5.494e+02,3.082e+02,2.187e+03
141.3,1.150e+03,6.253e+02,3.490e+02,2.124e+03
142.9,9.708e+02,6.639e+02,3.750e+02,2.010e+03
144.5,7.571e+02,6.065e+02,3.699e+02,1.733e+03
146.1,6.111e+02,6.716e+02,3.751e+02,1.658e+03
147.7,4.818e+02,8.280e+02,3.907e+02,1.701e+03
149.3,5.445e+02,9.056e+02,4.577e+02,1.908e+03
150.8,6.384e+02,9.910e+02,5.238e+02,2.153e+03
152.4,7.241e+02,1.005e+03,5.773e+02,2.306e+03
154.0,8.602e+02,9.673e+02,5.827e+02,2.410e+03
155.6,1.109e+03,9.775e+02,6.585e+02,2.745e+03
157.2,1.459e+03,1.122e+03,8.598e+02,3.440e+03
158.8,1.889e+03,1.122e+03,1.164e+03,4.175e+03
160.4,2.142e+03,1.115e+03,1.351e+03,4.608e+03
162.0,2.004e+03,1.136e+03,1.178e+03,4.319e+03
163.5,1.733e+03,1.063e+03,7.520e+02,3.548e+03
165.1,1.604e+03,9.037e+02,6.069e+02,3.114e+03
166.7,1.650e+03,8.877e+02,7.297e+02,3.268e+03
168.3,1.732e+03,9.771e+02,9.190e+02,3.629e+03
169.9,1.745e+03,1.323e+03,1.052e+03,4.120e+03
171.5,1.447e+03,1.829e+03,1.019e+03,4.295e+03
173.1,1.041e+03,2.440e+03,8.844e+02,4.365e+03
174.7,8.580e+02,2.647e+03,8.172e+02,4.322e+03
176.2,8.920e+02,2.637e+03,7.859e+02,4.315e+03
177.8,9.546e+02,2.477e+03,7.663e+02,4.198e+03
179.4,1.219e+03,2.377e+03,8.770e+02,4.474e+03
181.0,1.543e+03,2.384e+03,1.038e+03,4.965e+03
182.6,1.837e+03,2.318e+03,1.107e+03,5.262e+03
184.2,2.469e+03,2.091e+03,1.276e+03,5.836e+03
185.8,3.030e+03,1.923e+03,1.385e+03,6.339e+03
187.4,3.738e+03,1.876e+03,1.458e+03,7.073e+03
189.0,4.316e+03,2.010e+03,1.553e+03,7.879e+03
190.5,4.404e+03,2.241e+03,1.476e+03,8.121e+03
192.1,4.981e+03,2.318e+03,1.524e+03,8.823e+03
193.7,5.430e+03,2.629e+03,1.576e+03,9.635e+03
195.3,5.763e+03,3.014e+03,1.600e+03,1.038e+04
196.9,5.417e+03,2.653e+03,1.617e+03,9.688e+03
198.5,5.471e+03,2.651e+03,1.680e+03,9.802e+03
