freq,psd_x,psd_y,psd_z,psd_xyz,zv(58.0),mzv(60.8),ei(54.2),2hump_ei(89.6),3hump_ei(107.2)
0.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.000,1.000,1.000,1.000,1.000
1.6,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.995,0.994,0.990,0.991,0.990
3.2,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.989,0.985,0.975,0.980,0.977
4.8,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.981,0.974,0.957,0.966,0.962
6.4,9.003e+00,1.866e+01,1.852e+02,2.128e+02,0.971,0.962,0.934,0.950,0.944
8.0,6.947e+00,1.641e+01,2.313e+02,2.546e+02,0.959,0.947,0.908,0.931,0.924
9.6,5.792e+00,1.260e+01,2.759e+02,2.943e+02,0.945,0.930,0.878,0.910,0.902
11.2,4.471e+00,1.156e+01,3.224e+02,3.384e+02,0.930,0.912,0.846,0.887,0.877
12.8,4.143e+00,9.989e+00,3.744e+02,3.885e+02,0.913,0.892,0.810,0.862,0.850
14.4,4.020e+00,9.073e+00,4.404e+02,4.535e+02,0.895,0.870,0.772,0.836,0.822
16.0,3.466e+00,8.461e+00,5.299e+02,5.418e+02,0.875,0.846,0.731,0.807,0.792
17.6,3.255e+00,8.059e+00,6.683e+02,6.796e+02,0.854,0.821,0.689,0.778,0.761
19.2,3.667e+00,1.054e+01,7.859e+02,8.001e+02,0.831,0.795,0.645,0.747,0.728
20.8,3.561e+00,1.198e+01,5.665e+02,5.820e+02,0.807,0.767,0.600,0.715,0.695
22.4,2.793e+00,1.015e+01,4.635e+02,4.765e+02,0.781,0.738,0.554,0.681,0.660
24.0,3.046e+00,1.124e+01,5.389e+02,5.532e+02,0.754,0.708,0.508,0.648,0.625
25.6,2.632e+00,1.325e+01,5.897e+02,6.056e+02,0.726,0.677,0.462,0.613,0.589
27.2,1.992e+00,1.003e+01,6.423e+02,6.543e+02,0.697,0.645,0.416,0.578,0.554
28.8,2.408e+00,8.105e+00,7.288e+02,7.393e+02,0.667,0.613,0.370,0.543,0.518
30.4,3.238e+00,8.067e+00,8.207e+02,8.320e+02,0.635,0.580,0.326,0.508,0.482
32.0,4.695e+00,8.367e+00,9.311e+02,9.442e+02,0.603,0.546,0.283,0.473,0.447
33.6,6.532e+00,9.398e+00,1.047e+03,1.063e+03,0.570,0.512,0.242,0.438,0.412
35.2,7.988e+00,8.815e+00,1.146e+03,1.163e+03,0.536,0.478,0.203,0.404,0.378
36.8,1.060e+01,9.128e+00,1.312e+03,1.332e+03,0.501,0.444,0.167,0.370,0.344
38.4,1.432e+01,1.080e+01,1.541e+03,1.566e+03,0.465,0.410,0.133,0.337,0.312
40.0,1.525e+01,1.195e+01,1.758e+03,1.786e+03,0.429,0.376,0.101,0.306,0.281
41.6,1.296e+01,1.485e+01,2.080e+03,2.107e+03,0.393,0.342,0.074,0.275,0.251
43.2,1.156e+01,1.782e+01,2.433e+03,2.463e+03,0.355,0.309,0.050,0.245,0.223
44.8,1.254e+01,2.215e+01,2.891e+03,2.925e+03,0.318,0.276,0.031,0.216,0.196
46.4,1.592e+01,3.126e+01,3.856e+03,3.903e+03,0.280,0.244,0.020,0.189,0.170
48.0,3.138e+01,4.578e+01,5.131e+03,5.208e+03,0.242,0.213,0.022,0.164,0.147
49.6,5.302e+01,5.118e+01,5.659e+03,5.763e+03,0.204,0.182,0.029,0.140,0.125
51.2,9.240e+01,4.399e+01,5.186e+03,5.322e+03,0.166,0.153,0.036,0.118,0.106
52.8,1.682e+02,3.701e+01,5.730e+03,5.935e+03,0.128,0.125,0.039,0.098,0.088
54.5,1.104e+02,4.507e+01,9.044e+03,9.200e+03,0.098,0.098,0.040,0.079,0.073
56.1,7.614e+01,8.686e+01,1.659e+04,1.675e+04,0.074,0.073,0.037,0.063,0.060
57.7,6.094e+01,1.424e+02,2.411e+04,2.431e+04,0.062,0.052,0.032,0.049,0.050
59.3,3.602e+01,1.345e+02,2.335e+04,2.352e+04,0.068,0.040,0.029,0.038,0.043
60.9,3.608e+01,6.950e+01,1.549e+04,1.560e+04,0.087,0.034,0.028,0.031,0.038
62.5,8.612e+01,6.170e+01,9.252e+03,9.400e+03,0.112,0.038,0.031,0.028,0.037
64.1,1.335e+02,8.364e+01,5.765e+03,5.982e+03,0.147,0.047,0.038,0.028,0.037
65.7,1.078e+02,8.407e+01,3.475e+03,3.667e+03,0.182,0.060,0.050,0.030,0.038
67.3,4.954e+01,5.675e+01,1.739e+03,1.846e+03,0.218,0.075,0.070,0.033,0.039
68.9,4.698e+01,4.513e+01,8.256e+02,9.177e+02,0.253,0.088,0.095,0.036,0.040
70.5,1.478e+02,1.013e+02,6.849e+02,9.340e+02,0.287,0.100,0.122,0.037,0.040
72.1,4.158e+02,2.889e+02,1.635e+03,2.339e+03,0.321,0.110,0.150,0.038,0.039
73.7,5.366e+02,4.116e+02,2.752e+03,3.700e+03,0.353,0.118,0.180,0.038,0.038
75.3,5.033e+02,3.805e+02,2.511e+03,3.395e+03,0.385,0.125,0.210,0.037,0.037
76.9,4.390e+02,3.072e+02,1.524e+03,2.271e+03,0.416,0.129,0.242,0.036,0.034
78.5,3.440e+02,2.314e+02,9.619e+02,1.537e+03,0.446,0.132,0.273,0.033,0.031
80.1,2.481e+02,1.676e+02,7.978e+02,1.213e+03,0.475,0.133,0.305,0.030,0.028
81.7,2.290e+02,1.478e+02,4.729e+02,8.497e+02,0.503,0.133,0.336,0.026,0.024
83.3,2.091e+02,1.305e+02,2.147e+02,5.543e+02,0.530,0.130,0.367,0.022,0.021
84.9,1.551e+02,8.468e+01,1.585e+02,3.982e+02,0.556,0.126,0.396,0.017,0.017
86.5,1.112e+02,4.211e+01,1.494e+02,3.027e+02,0.580,0.121,0.425,0.013,0.014
88.1,1.466e+02,7.836e+01,1.842e+02,4.091e+02,0.604,0.113,0.453,0.011,0.012
89.7,3.249e+02,2.322e+02,3.581e+02,9.151e+02,0.625,0.104,0.479,0.011,0.012
91.3,5.310e+02,3.762e+02,6.083e+02,1.516e+03,0.646,0.097,0.503,0.011,0.013
92.9,6.248e+02,4.007e+02,6.539e+02,1.679e+03,0.665,0.092,0.525,0.013,0.015
94.5,5.502e+02,2.674e+02,5.548e+02,1.372e+03,0.683,0.088,0.545,0.017,0.018
96.1,4.026e+02,1.089e+02,4.568e+02,9.682e+02,0.700,0.084,0.563,0.021,0.021
97.7,2.883e+02,3.675e+01,3.945e+02,7.195e+02,0.715,0.081,0.578,0.024,0.023
99.3,2.506e+02,5.963e+01,3.405e+02,6.508e+02,0.728,0.080,0.591,0.027,0.025
100.9,2.690e+02,1.347e+02,3.038e+02,7.074e+02,0.740,0.082,0.601,0.030,0.027
102.5,3.095e+02,2.213e+02,2.701e+02,8.010e+02,0.751,0.085,0.608,0.031,0.029
104.1,3.147e+02,2.937e+02,2.274e+02,8.358e+02,0.760,0.091,0.612,0.032,0.030
105.7,3.175e+02,3.344e+02,1.844e+02,8.363e+02,0.768,0.099,0.614,0.032,0.030
107.3,3.601e+02,3.715e+02,1.712e+02,9.028e+02,0.774,0.109,0.613,0.030,0.030
108.9,4.187e+02,3.947e+02,1.859e+02,9.993e+02,0.779,0.121,0.609,0.028,0.029
110.5,4.807e+02,3.907e+02,2.181e+02,1.090e+03,0.782,0.133,0.603,0.027,0.028
112.1,5.442e+02,3.831e+02,2.666e+02,1.194e+03,0.784,0.152,0.594,0.027,0.026
113.7,6.102e+02,3.692e+02,3.291e+02,1.309e+03,0.784,0.175,0.582,0.027,0.024
115.3,6.700e+02,3.288e+02,3.986e+02,1.397e+03,0.783,0.199,0.568,0.028,0.022
116.9,7.592e+02,3.148e+02,4.776e+02,1.552e+03,0.780,0.223,0.552,0.029,0.019
118.5,8.857e+02,3.170e+02,5.888e+02,1.791e+03,0.776,0.247,0.533,0.031,0.016
120.1,9.855e+02,3.663e+02,7.090e+02,2.061e+03,0.770,0.272,0.513,0.035,0.014
121.7,1.018e+03,5.079e+02,7.822e+02,2.309e+03,0.763,0.296,0.491,0.039,0.013
123.3,1.015e+03,6.531e+02,7.958e+02,2.464e+03,0.755,0.319,0.468,0.045,0.012
124.9,1.044e+03,7.571e+02,8.227e+02,2.623e+03,0.745,0.343,0.443,0.054,0.012
126.5,1.100e+03,8.074e+02,9.167e+02,2.824e+03,0.734,0.366,0.417,0.068,0.012
