freq,psd_x,psd_y,psd_z,psd_xyz,zv(42.8),mzv(43.6),ei(52.2),2hump_ei(64.6),3hump_ei(77.4)
0.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.000,1.000,1.000,1.000,1.000
1.6,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.993,0.990,0.989,0.987,0.985
3.2,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.983,0.977,0.974,0.969,0.966
4.8,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.970,0.959,0.954,0.947,0.941
6.4,2.300e+00,1.955e+02,3.865e+00,2.016e+02,0.953,0.938,0.930,0.920,0.912
8.0,2.011e+00,2.569e+02,3.327e+00,2.622e+02,0.934,0.912,0.903,0.889,0.879
9.6,1.753e+00,3.180e+02,2.612e+00,3.223e+02,0.911,0.884,0.871,0.854,0.842
11.2,1.420e+00,4.002e+02,2.434e+00,4.041e+02,0.886,0.852,0.836,0.816,0.801
12.8,1.184e+00,5.153e+02,2.277e+00,5.188e+02,0.857,0.817,0.799,0.775,0.758
14.4,1.137e+00,6.462e+02,2.004e+00,6.493e+02,0.826,0.780,0.758,0.731,0.713
16.0,9.777e-01,7.736e+02,2.023e+00,7.766e+02,0.793,0.740,0.715,0.686,0.665
17.6,9.102e-01,9.309e+02,3.753e+00,9.355e+02,0.757,0.698,0.671,0.639,0.617
19.2,8.870e-01,1.136e+03,4.015e+01,1.177e+03,0.719,0.654,0.625,0.591,0.567
20.8,8.484e-01,1.390e+03,1.037e+02,1.495e+03,0.679,0.608,0.577,0.542,0.518
22.4,1.513e+00,2.079e+03,1.226e+02,2.203e+03,0.636,0.562,0.530,0.493,0.468
24.0,2.867e+00,1.999e+03,1.404e+02,2.143e+03,0.592,0.515,0.481,0.445,0.420
25.6,2.126e+00,7.504e+02,6.643e+01,8.190e+02,0.547,0.467,0.434,0.398,0.372
27.2,9.506e-01,4.775e+02,1.734e+01,4.958e+02,0.500,0.420,0.386,0.351,0.327
28.8,6.171e-01,7.558e+02,5.962e+00,7.624e+02,0.451,0.372,0.340,0.307,0.283
30.4,9.884e-01,1.154e+03,2.753e+00,1.158e+03,0.402,0.326,0.295,0.264,0.242
32.0,2.015e+00,1.596e+03,1.565e+00,1.600e+03,0.352,0.280,0.252,0.224,0.204
33.6,3.179e+00,2.122e+03,1.408e+00,2.127e+03,0.301,0.235,0.211,0.186,0.168
35.2,3.920e+00,2.903e+03,1.398e+00,2.908e+03,0.249,0.192,0.172,0.152,0.137
36.8,1.451e+01,4.210e+03,1.818e+00,4.226e+03,0.198,0.151,0.137,0.120,0.108
38.4,6.844e+01,6.732e+03,4.052e+00,6.805e+03,0.146,0.112,0.104,0.092,0.084
40.0,2.968e+02,1.347e+04,2.653e+01,1.380e+04,0.101,0.076,0.075,0.068,0.064
41.6,9.118e+02,2.552e+04,1.048e+02,2.653e+04,0.070,0.049,0.050,0.049,0.050
43.2,1.303e+03,2.447e+04,1.625e+02,2.593e+04,0.063,0.035,0.030,0.035,0.041
44.8,9.947e+02,1.422e+04,1.724e+02,1.538e+04,0.085,0.038,0.020,0.028,0.037
46.4,7.178e+02,7.399e+03,1.711e+02,8.288e+03,0.122,0.051,0.023,0.028,0.037
48.0,5.996e+02,3.891e+03,1.643e+02,4.655e+03,0.170,0.072,0.030,0.032,0.039
49.6,4.963e+02,2.304e+03,1.488e+02,2.949e+03,0.218,0.091,0.037,0.035,0.040
51.2,4.275e+02,1.584e+03,1.355e+02,2.147e+03,0.265,0.106,0.040,0.038,0.040
52.8,5.055e+02,1.117e+03,8.109e+01,1.704e+03,0.311,0.118,0.039,0.038,0.039
54.4,6.760e+02,7.622e+02,6.866e+01,1.507e+03,0.356,0.127,0.035,0.037,0.036
56.0,6.060e+02,5.996e+02,8.026e+01,1.286e+03,0.399,0.132,0.031,0.034,0.033
57.6,3.450e+02,4.703e+02,9.745e+01,9.127e+02,0.440,0.133,0.028,0.030,0.028
59.2,1.829e+02,3.001e+02,1.559e+02,6.389e+02,0.479,0.132,0.029,0.025,0.024
60.9,3.611e+02,1.341e+02,2.729e+02,7.680e+02,0.517,0.126,0.034,0.018,0.019
62.5,8.659e+02,2.356e+02,3.492e+02,1.451e+03,0.552,0.118,0.044,0.013,0.014
64.1,1.416e+03,7.938e+02,3.204e+02,2.530e+03,0.585,0.107,0.059,0.011,0.012
65.7,1.946e+03,1.923e+03,2.243e+02,4.093e+03,0.616,0.096,0.084,0.011,0.012
67.3,1.908e+03,2.566e+03,1.212e+02,4.595e+03,0.644,0.090,0.111,0.014,0.015
68.9,1.347e+03,2.187e+03,6.761e+01,3.601e+03,0.670,0.084,0.140,0.019,0.019
70.5,8.580e+02,1.660e+03,3.317e+01,2.551e+03,0.694,0.081,0.170,0.024,0.023
72.1,5.545e+02,1.270e+03,2.682e+01,1.851e+03,0.714,0.081,0.202,0.028,0.026
73.7,3.444e+02,9.464e+02,3.394e+01,1.325e+03,0.732,0.086,0.234,0.031,0.028
75.3,1.956e+02,6.552e+02,4.551e+01,8.963e+02,0.748,0.095,0.267,0.032,0.030
76.9,1.180e+02,4.608e+02,4.311e+01,6.219e+02,0.761,0.108,0.299,0.031,0.030
78.5,9.677e+01,3.495e+02,2.463e+01,4.709e+02,0.771,0.125,0.332,0.028,0.029
80.1,9.357e+01,2.933e+02,2.010e+01,4.069e+02,0.778,0.145,0.364,0.027,0.028
81.7,9.764e+01,2.796e+02,2.519e+01,4.024e+02,0.782,0.178,0.395,0.027,0.025
83.3,9.479e+01,3.064e+02,3.024e+01,4.314e+02,0.784,0.211,0.425,0.028,0.022
84.9,9.670e+01,4.578e+02,3.707e+01,5.916e+02,0.783,0.245,0.453,0.030,0.018
